# Port Assignments from http://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml
# simplified and edited
# last update 11 January 2024
#
#Keyword        Decimal    Description
#-------        -------    -----------
tcpmux            1   TCP Port Service Multiplexer
compressnet       2   Management Utility
compressnet       3   Compression Process
rje               5   Remote Job Entry
echo              7   Echo
discard           9   Discard
systat           11   Active Users
daytime          13   Daytime
qotd             17   Quote of the Day
msp              18   Message Send Protocol
chargen          19   Character Generator
ftp              20   File Transfer [Default Data]
ftp              21   File Transfer [Control]
telnet           23   Telnet
smtp             25   Simple Mail Transfer
nsw-fe           27   NSW User System FE
msg-icp          29   MSG ICP
msg-auth         31   MSG Authentication
dsp              33   Display Support Protocol
time             37   Time
rap              38   Route Access Protocol
rlp              39   Resource Location Protocol
graphics         41   Graphics
nameserver       42   Host Name Server
whois            43   nicname
mpm-flags        44   MPM FLAGS Protocol
mpm              45   Message Processing Module [recv]
mpm-snd          46   MPM [default send]
ni-ftp           47   NI FTP
auditd           48   Digital Audit Daemon
login            49   Login Host Protocol
re-mail-ck       50   Remote Mail Checking Protocol
la-maint         51   IMP Logical Address Maintenance
xns-time         52   XNS Time Protocol
dns              53   Domain Name Server
xns-ch           54   XNS Clearinghouse
isi-gl           55   ISI Graphics Language
xns-auth         56   XNS Authentication
privterm         57   any private terminal access
xns-mail         58   XNS Mail
privfile         59   any private file service
ni-mail          61   NI MAIL
acas             62   ACA Services
covia            64   Communications Integrator (CI)
tacacs-ds        65   TACACS-Database Service
sql*net          66   Oracle SQL*NET
bootps           67   Bootstrap Protocol Server
bootpc           68   Bootstrap Protocol Client
tftp             69   Trivial File Transfer
gopher           70   Gopher
netrjs-1         71   Remote Job Service
netrjs-2         72   Remote Job Service
netrjs-3         73   Remote Job Service
netrjs-4         74   Remote Job Service
deos             76   Distributed External Object Store
vettcp           78   vettcp
finger           79   Finger
http             80   World Wide Web HTTP
hosts2-ns        81   HOSTS2 Name Server
xfer             82   XFER Utility
mit-ml-dev       83   MIT ML Device
ctf              84   Common Trace Facility
mit-ml-dev       85   MIT ML Device
mfcobol          86   Micro Focus Cobol
kerberos         88   Kerberos
su-mit-tg        89   SU/MIT Telnet Gateway
dnsix            90   DNSIX Securit Attribute Token Map
mit-dov          91   MIT Dover Spooler
npp              92   Network Printing Protocol
dcp              93   Device Control Protocol
objcall          94   Tivoli Object Dispatcher
supdup           95   SUPDUP
dixie            96   DIXIE Protocol Specification
swift-rvf        97   Swift Remote Vitural File Protocol
tacnews          98   TAC News
metagram         99   Metagram Relay
newacct         100   [unauthorized use]
hostname        101   NIC Host Name Server
iso-tsap        102   ISO-TSAP
